./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.85 --threads=12 --top=10000 --time=20m
-15.6388	",B,B,B,B,B,B,B,B,GB"
-15.6342	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/G"
-15.6301	"G,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-15.6138	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,/B"
-15.6123	"B,B,B,B,B,B,B,B,B,G/G/G/G/G/G/G/G/G/"
-15.6092	"//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G/"
-15.5868	"/R,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B"
-15.5769	"RB,GRB,GRB,GRB,GRB,GRB,GRB,GRB,GRB,GB"
-15.5702	"R/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-15.5636	",RB,RB,RB,RB,RB,RB,RB,RB,R"
-15.5621	",/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/B"
-15.5311	"/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/B"
-15.5287	"B,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/"
-15.515	",B/,B/,B/,B/,B/,B/,B/,B/,B/G"
-15.5134	"B,B,B,B,B,B,B,B,B,G/G/G/G/G/G/G/G/"
-15.5098	"G/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-15.5096	"B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,G/"
-15.5069	"/B,/B,/B,/B,/B,/B,/B,/B,/B,/R"
-15.5069	"/B,/B,/B,/B,/B,/B,/B,/B,/B,/G"
-15.5051	"/////////,B,B,B,B,B,B,B,B,B"
-15.5048	"/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/B"
-15.5023	"B,B,B,B,B,B,B,B,B,/R/R/R/R/R/R/R/R/R"
-15.502	",R,R,R,R,R,R,R,R,G"
-15.4977	"/,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB"
-15.4962	"R,GR,GR,GR,GR,GR,GR,GR,GR,GB"
-15.4745	"/B,/B,/B,/B,/B,/B,/B,/B,/B,B/////////"
-15.4715	"/B,/B,/B,/B,/B,/B,/B,/B,/B,/////////"
-15.4477	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,B"
-15.4477	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,G"
-15.4383	"/R/R/R/R/R/R/R/R,B,B,B,B,B,B,B,B,B"
-15.436	"/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/B/B,G/R"
-15.4276	"/R,/R,/R,/R,/R,/R,/R,/R,/R,B/"
-15.4241	"/B,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-15.4112	"B,B,B,B,B,B,B,B,B,B/G/G/G/G/G/G/G/G/"
-15.4072	"G,G,G,G,G,G,G,G,G,G"
-15.3971	"/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,B"
-15.3964	"B,/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/R"
-15.3964	"B,/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/G"
-15.394	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,"
-15.394	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/,B"
-15.3858	"B,GB,GB,GB,GB,GB,GB,GB,GB,GB/"
-15.3849	"RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/"
-15.3801	"BB,GB,GB,GB,GB,GB,GB,GB,G,G"
-15.3764	"R,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/,"
-15.3728	"/////////B,B,B,B,B,B,B,B,B,B"
-15.3706	"B,/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/R"
-15.3631	"B,RB,RB,RB,RB,RB,RB,RB,RB,"
-15.3612	"B/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/,G"
-15.3545	"R,,B,B,B,B,B,B,B,B"
-15.3545	"B,,B,B,B,B,B,B,B,B"
-15.3532	"/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,R"
-15.3526	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B"
-15.3507	"/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB"
-15.3478	"/R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B"
-15.3465	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/B"
-15.3449	"B,B,RB,RB,RB,RB,RB,RB,RB,G"
-15.3449	"B,B,RB,RB,RB,RB,RB,RB,RB,B"
-15.3261	"/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,R"
-15.326	"B,B,B,B,B,B,B,B,,B"
-15.321	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G"
-15.3056	"R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-15.3046	"B,B,B,B,B,B,B,B,B,/B/B/B/B/B/B/B/B"
-15.3036	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-15.2941	"R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/"
-15.2911	"B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B/"
-15.2865	",GB,GB,GB,GB,GB,GB,GB,GB,G"
