./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --param=0.72 --threads=12 --top=10000 --time=20m
-15.8595	",/,/,/,/,/,/,/,/,/B"
-15.853	"R/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-15.7991	",,,,,,,,,G"
-15.7765	"R,,,,,,,,,"
-15.7711	"G,R,R,R,R,R,R,R,R,R"
-15.7711	"G,G,G,G,G,G,G,G,G,R"
-15.7236	"R/,/,/,/,/,/,/,/,/,/"
-15.6926	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R"
-15.6669	"G/,/,/,/,/,/,/,/,/,"
-15.6669	",/,/,/,/,/,/,/,/,/R"
-15.5814	"/,/,/,/,/,/,/,/,/,R"
-15.528	"B,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-15.5236	"G,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-15.4386	",R,R,R,R,R,R,R,R,R"
-15.4279	"R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-15.4279	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-15.4038	"R,/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-15.3996	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,G"
-15.3764	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-15.3637	"/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-15.3277	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,"
-15.3277	",/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-15.3081	",R,R,R,R,R,R,R,R,G"
-15.3073	"R,R,R,R,R,R,R,R,R,/G/G/G/G/G/G/G/G/G"
-15.3052	"/G,/G,/G,/G,/G,/G,/G,/G,/G,"
-15.2988	"R/R/R/R/R/R/R/R/R/,G,G,G,G,G,G,G,G,G"
-15.2973	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/"
-15.2745	"/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-15.2728	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,"
-15.249	"R,/R,/R,/R,/R,/R,/R,/R,/R,/"
-15.2347	"R/,R/,R/,R/,R/,R/,R/,R/,R/,B"
-14.9706	"R/G,/G,/G,/G,/G,/G,/G,/G,/G,"
-14.91	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.8849	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.8783	"G,G,G,G,G,G,G,G,G,"
-14.7929	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.7929	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.7702	"R,G,G,G,G,G,G,G,G,"
-14.7485	"B,G,G,G,G,G,G,G,G,G"
-14.6648	"G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-14.4648	"/,/,/,/,/,/,/,/,/,G"
-14.4162	"R,R,R,R,R,R,R,R,R,B"
-14.3806	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-14.3401	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/G"
-14.3124	"R,/,/,/,/,/,/,/,/,/"
-14.3056	"R/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-14.1545	"R,/R,/R,/R,/R,/R,/R,/R,/R,/G"
-14.1412	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-14.0813	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-14.0517	"/,/,/,/,/,/,/,/,/,"
-13.8387	",/,/,/,/,/,/,/,/,/"
-13.8065	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-13.8044	"G,G,G,G,G,G,G,G,G,G"
-13.716	",/G,/G,/G,/G,/G,/G,/G,/G,/G"
-13.716	"R/,R/,R/,R/,R/,R/,R/,R/,R/,"
-13.6149	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-13.4473	"R,R,R,R,R,R,R,R,R,R"
-13.4458	",/,/,/,/,/,/,/,/,/G"
-13.4227	",G,G,G,G,G,G,G,G,G"
-13.4227	"R,R,R,R,R,R,R,R,R,"
-13.3785	"R/,/,/,/,/,/,/,/,/,"
-13.3698	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-13.0946	"R/,R/,R/,R/,R/,R/,R/,R/,R/,G"
-13.0812	"R,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-12.6268	"R,R,R,R,R,R,R,R,R,G"
-12.6196	"R,G,G,G,G,G,G,G,G,G"
# Global sample count:	384912507
# Elapsed time:	1200.2 seconds 
# Samples per second:	320707
