./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=8.0 --threads=12 --top=10000 --time=20m
-18.8844	"G/,/BR,G/,/RR,G/,/RR,G/,/BR,G/,/RR"
-18.8844	"G/,/BR,G/,/RR,G/,/RR,G/,/RR,G/,/BR"
-18.8844	"G/,/BR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-18.8844	"G/,/RB,G/,/RB,G/,/RB,G/,/RB,G/,/RB"
-18.8844	"G/,/RB,G/,/RB,G/,/RB,G/,/RB,G/,/RR"
-18.8844	"G/,/RB,G/,/RB,G/,/RB,G/,/RR,G/,/RB"
-18.8844	"G/,/RB,G/,/RB,G/,/RB,G/,/RR,G/,/RR"
-18.8844	"G/,/RB,G/,/RB,G/,/RR,G/,/RB,G/,/RB"
-18.8844	"G/,/RB,G/,/RB,G/,/RR,G/,/RB,G/,/RR"
-18.8844	"G/,/RR,G/,/RB,G/,/RR,G/,/RB,G/,/RR"
-18.8844	"G/R,/RR,G/,/RR,G/R,/RR,G/R,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/BR,G/,/RR,G/,/BR"
-18.8844	"G/,/RR,G/,/RR,G/,/BR,G/,/BR,G/,/RR"
-18.8844	"G/,/RR,G/,/RR,G/,/BR,G/,/BR,G/,/BR"
-18.8844	"G/R,/RR,G/,/RR,G/R,/RR,G/R,/RR,G/R,/RR"
-18.8844	"G/R,/RR,G/R,/RR,G/,/RR,G/,/RR,G/,/RR"
-18.8844	"G/R,/RR,G/R,/RR,G/,/RR,G/,/RR,G/R,/RR"
-18.8844	"G/R,/RR,G/R,/RR,G/,/RR,G/R,/RR,G/,/RR"
-18.8844	"G/R,/RR,G/R,/RR,G/,/RR,G/R,/RR,G/R,/RR"
-18.8844	"G/R,/RR,G/R,/RR,G/R,/RR,G/,/RR,G/,/RR"
-18.8844	"G/R,/RR,G/R,/RR,G/R,/RR,G/,/RR,G/R,/RR"
-18.8844	"G/R,/RR,G/R,/RR,G/R,/RR,G/R,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RB,G/,/RR,G/,/RR,G/,/RR"
-18.8844	"G/,/RR,G/,/RB,G/,/RR,G/,/RR,G/,/RB"
-18.8844	"G/,/RR,G/,/RB,G/,/RR,G/,/RB,G/,/RB"
-18.7879	"G/,/RR,GG/G,G/RRG/,/RR,G/,/RR,GG/G,G/RRG/,/RR"
-18.7879	"GG/G,G/RR,GG/G,G/RRG/G,G/RR,GG/G,G/RR,GG/G,G/RRG/,/RR"
-18.7879	"GG/G,G/RR,GG/G,G/RRG/G,G/RR,GG/G,G/RRG/,/RR,G/,/RR"
-18.7879	"GG/G,G/RR,GG/G,G/RRG/G,G/RRG/,/RR,G/,/RR,G/,/RR"
-18.7879	"G/,/RR,RG/R,R/RRG/,/RR,RG/R,R/RR,RG/R,R/RRG/,/RR"
-18.7879	"G/,/RR,RG/R,R/RRG/,/RR,G/,/RR,RG/R,R/RRG/,/RR"
-18.7879	"G/,/RR,RG/R,R/RR,RG/R,R/RRG/R,R/RRG/,/RR,G/,/RR"
-18.7879	"G/,/RR,RG/R,R/RR,RG/R,R/RRG/R,R/RR,RG/R,R/RRG/,/RR"
-18.7879	"G/,/RR,RG/R,R/RR,RG/R,R/RRG/,/RR,RG/R,R/RRG/,/RR"
-18.7879	"G/,/RR,GG/G,G/RRG/,/RR,GG/G,G/RRG/,/RR,G/,/RR"
-18.7879	"G/,/RR,GG/G,G/RRG/,/RR,GG/G,G/RR,GG/G,G/RRG/,/RR"
-18.7879	"GG/G,G/RR,GG/G,G/RR,GG/G,G/RRG/G,G/RRG/,/RR,G/,/RR"
