-15.4622	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-15.4435	"R,/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R"
-15.4435	"G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,G"
-15.4268	",,,,,,,,,/G/G/G/G/G/G/G/G/G"
-15.4261	"R,RG,RG,RG,RG,RG,RG,RG,RG,RG"
-15.4196	"R/R/R/R/R/R/R/R/R/G,,,,,,,,,"
-15.4104	"R,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-15.4033	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-15.3924	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-15.3642	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R//G"
-15.3546	"B/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-15.3546	"R,/R,/R,/R,/R,/R,/R,/R,/R,/B"
-15.334	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,B"
-15.328	"R//G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-15.2825	",/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-15.2705	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,"
-15.2676	"RG,RG,RG,RG,RG,RG,RG,RG,RG,G"
-15.2667	"R/R/R/R/R/R/R/R/R/,/,/,/,/,/,/,/,/,/"
-15.2383	",R/,R/,R/,R/,R/,R/,R/,R/,R/G"
-15.2363	"B,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.1901	"/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-15.1901	"G,/G,/G,/G,/G,/G,/G,/G,/G,/"
-15.1436	"G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-15.101	"R/R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.101	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G/G"
-15.0985	"R/R/R/R/R/R/R/R/R/,,,,,,,,,"
-15.094	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/////////"
-15.0938	"R/,/,/,/,/,/,/,/,/,G"
-15.0808	"G,/,/,/,/,/,/,/,/,/"
-15.0324	"/,/,/,/,/,/,/,/,/,B"
-14.9711	",/,/,/,/,/,/,/,/,G"
-14.9616	"G,G,G,G,G,G,G,G,G,"
-14.9591	",R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G"
-14.9425	"R,/,/,/,/,/,/,/,/,"
-14.9328	",/,/,/,/,/,/,/,/,"
-14.9174	"R/,/G,/G,/G,/G,/G,/G,/G,/G,G"
-14.9115	",R,R,R,R,R,R,R,R,G"
-14.8637	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,B"
-14.8365	"/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-14.8343	"/,/,/,/,/,/,/,/,/,/"
-14.8109	"R/,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,G"
-14.8083	"R,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,/G"
-14.7929	"R/R/R/R/R/R/R/R/R/G,G,G,G,G,G,G,G,G,G"
-14.7544	"R,/G,/G,/G,/G,/G,/G,/G,/G,"
-14.753	"R,R,R,R,R,R,R,R,R,R/G/G/G/G/G/G/G/G/G"
-14.7206	"R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/"
-14.6924	"B/,/,/,/,/,/,/,/,/,"
-14.6924	",/,/,/,/,/,/,/,/,/B"
-14.6711	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,G"
-14.6685	"R,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-14.6611	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/B"
-14.6392	"R,R,R,R,R,R,R,R,R,/G"
-14.6301	"G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.6035	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/"
-14.5987	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/,G"
-14.5987	"R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-14.5801	"R/,G,G,G,G,G,G,G,G,G"
-14.5571	"G/,/,/,/,/,/,/,/,/,"
-14.5571	",/,/,/,/,/,/,/,/,/R"
-14.5558	"B/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-14.5499	"R/,GR/,GR/,GR/,GR/,GR/,GR/,GR/,GR/,G"
-14.5405	"R,RG,RG,RG,RG,RG,RG,RG,RG,G"
-14.5395	"/,/,/,/,/,/,/,/,/,R"
-14.4867	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-14.4412	"R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-14.4412	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-14.4203	"B,G,G,G,G,G,G,G,G,G"
-14.3992	"/G,/G,/G,/G,/G,/G,/G,/G,/G,"
-14.3958	"R,/GR,/GR,/GR,/GR,/GR,/GR,/GR,/GR,/G"
-14.3736	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R"
-14.3735	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,"
-14.3735	",/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-14.365	"R/R/R/R/R/R/R/R/R/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-14.3612	"R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,"
-14.3593	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G"
-14.3566	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,"
-14.2995	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R"
-14.2827	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/G/G/G/G/G/G/G/G/G"
-14.2789	"/,//,//,//,//,//,//,//,//,/G"
-14.255	"/,G/,G/,G/,G/,G/,G/,G/,G/,G"
