./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.6 --threads=12 --top=10000 --time=20m
-16.5307	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-16.5307	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-16.5228	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G"
-16.4877	",R,R,R,R,R,R,R,R,G"
-16.4531	"/,/,/,/,/,/,/,/,/,G"
-16.3729	"R,R,R,R,R,R,R,R,R,B"
-16.3633	"G,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-16.2259	"G/G/G/G/G/G/G/G/G/,R,R,R,R,R,R,R,R,R"
-16.2187	"G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R/R"
-16.1615	"G,/G,/G,/G,/G,/G,/G,/G,/G,/"
-16.1082	",,,,,,,,,"
-16.1035	"R,G,G,G,G,G,G,G,G,G"
-15.9699	",,,,,,,,,R"
-15.9614	"R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-15.9604	"G,,,,,,,,,"
-15.7813	",G,G,G,G,G,G,G,G,R"
-15.7741	"G,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-15.7693	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R"
-15.7675	"G/R,/R,/R,/R,/R,/R,/R,/R,/R,"
-15.7671	"/R,/R,/R,/R,/R,/R,/R,/R,/R,"
-15.7598	"G,/G,/G,/G,/G,/G,/G,/G,/G,/R"
-15.6917	"G,/,/,/,/,/,/,/,/,/"
-15.6615	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-15.6568	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-15.5312	",G,G,G,G,G,G,G,G,G"
-15.4342	"/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-15.3913	"G/,G/,G/,G/,G/,G/,G/,G/,G/,"
-15.3828	",/R,/R,/R,/R,/R,/R,/R,/R,/R"
-15.3717	"G,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-15.2011	"R,R,R,R,R,R,R,R,R,G"
-15.1607	"G,R,R,R,R,R,R,R,R,"
-15.1147	",/,/,/,/,/,/,/,/,/R"
-15.1147	"/,/,/,/,/,/,/,/,/,R"
-15.0531	"G,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-14.9513	"/,/,/,/,/,/,/,/,/,"
-14.9341	",/,/,/,/,/,/,/,/,/"
-14.9185	"G,G,G,G,G,G,G,G,G,B"
-14.9149	"B,R,R,R,R,R,R,R,R,R"
-14.8916	"G/,/,/,/,/,/,/,/,/,"
-14.7891	"R,R,R,R,R,R,R,R,R,"
-14.7237	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-14.6886	"G/,G/,G/,G/,G/,G/,G/,G/,G/,R"
-14.6822	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R"
-14.6572	"G/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-13.9426	"G,G,G,G,G,G,G,G,G,G"
-13.939	"R,R,R,R,R,R,R,R,R,R"
-13.8827	"G,G,G,G,G,G,G,G,G,"
-13.8693	",R,R,R,R,R,R,R,R,R"
-13.8606	"/,R/,R,R/,R,R,R/,R,R,R"
-13.1234	"G,G,G,G,G,G,G,G,G,R"
-13.1062	"G,R,R,R,R,R,R,R,R,R"
# Global sample count:	388987842
# Elapsed time:	1200.25 seconds 
# Samples per second:	324089
