-15.8757	",R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-15.8604	"R/G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-15.8547	"R/,/G,/G,/G,/G,/G,/G,/G,/G,/G/G"
-15.8096	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R"
-15.8068	"R/,/,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-15.7593	"/R/R/R/R/R/R/R/R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.7341	"B,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.7289	"R,/R,/R,/R,/R,/R,/R,/R,/R,/G"
-15.7224	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-15.6954	"R/,R/G,R/G/G,R/G,R/G/,R/G,R/G/G,R/G/,R/G,R/G/G/"
-15.6954	"R/,R/G,R/G,R/G/G,R/G/G,R/G/,R/G,R/G,R/G/G,R/G/G/"
-15.6512	",/,/,/,/,/,/,/,/,/G/G/G/G/G/G/G/G"
-15.6308	"R/G,/G,/G,/G,/G,/G,/G,/G,/G,"
-15.6151	"R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R//G,"
-15.6108	"R/R/R/R/R/R/R/R/R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-15.6068	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R//,R"
-15.6064	"R/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B//G,"
-15.5996	"R//G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/R"
-15.5854	"R,/G,/G,/G,/G,/G,/G,/G,/G,"
-15.5812	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G/G/G/G/G/G/G/G"
-15.5693	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,/,/G"
-15.5529	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R//"
-15.5445	",R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G"
-15.5445	",R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G"
-15.5441	"R/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/"
-15.4732	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,G"
-15.4732	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R"
-15.4532	"/R/R/R/R/R/R/R/R/R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.4523	"R/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G//G,"
-15.4151	"R/,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,G"
-15.4149	"R,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,/G"
-15.4048	"B/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R//G,"
-15.4047	"G/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R//G,"
-15.403	",/,/,/,/,/,/,/,/,/"
-15.3802	"R/R/R/R/R/,/G,R/,/G,R/,/G,R/,/G,R/,/G"
-15.3778	"R/,/,/,/,/,/,/,/,/,//"
-15.3475	"R/,/R/G,G/R/G,G/R/G,G/R/G,G/R/G,G/R/G,G/R/G,G/R/G,G/G"
-15.3475	"R/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/,/G"
-15.3407	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,G"
-15.3405	"R,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-15.3396	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,G"
-15.333	",R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.3201	"B/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R//G"
-15.3162	"G/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R//G"
-15.3158	"R//G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/B"
-15.2995	"R//,R/B/B,R/B/B,R/B/B,R/B/B,R/B/B,R/B/B,R/B/B,R/B/B,R/B/G"
-15.2995	"R/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,//G"
-15.2945	"R/R/R/R/R/R/R/R/R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.2826	"R//,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/G"
-15.2826	"R/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,//G"
-15.2343	"R/R/R/R/R/R/R/R/R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.2304	"R,RG,RG,RG,RG,RG,RG,RG,RG,G"
-15.2186	"R/,/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G"
-15.215	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/,/G"
-15.1585	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,B"
-15.0935	"G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.0705	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R,G"
-15.0569	"//,/,R/,/,R/,/,R/,/,R/,/G"
-15.0225	"R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/R/,/G/"
-14.937	"R/,/R/G,/R/G,/R/G,/R/G,/R/G,/R/G,/R/G,/R/G,/G"
-14.9045	"R/,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-14.9037	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G/G/G/G/G/G/G/G/G/"
-14.855	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G/G/G/G/G/G/G/G/G"
-14.8501	"R/R/,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G"
-14.8133	"R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/,/G"
-14.8039	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/GG"
-14.8037	"R,G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-14.7966	"R/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,/G"
-14.7854	"R/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-14.7852	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G/G/G/G/G/G/G/G/G"
